sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
PALS,PREFERRED AB LIQUOR STORE,1046,CROWFOOT-BEDDINGTON,301-8120 BEDDINGTON BLVD NW,?,CALGARY,AB,Alberta,T3K2A8,51.12549,-114.07354
BOST,BOSTON PIZZA INTERN'AL,320,HENDERSON HWY,1475 HENDERSON HWY,?,WINNIPEG,MB,Manitoba,R2G1N3,49.94693,-97.08464
TP01,TRAVELPLUS,1570,QUADRA TRAVELPLUS,500 2ND AVE W SUITE 339,?,PRINCE RUPERT,BC,British Columbia,V8J3T6,54.312535,-130.327348
TRUN,TOYS R US,2411,HAMILTON MOUNTAIN,HAMILTON MOUNTAIN PLAZA,"659 UPPER JAMES STREET, UNIT 4",HAMILTON,ON,Ontario,L9C5R8,43.23719,-79.87774
MART,MARLIN TRAVEL,1201,SUDBURY CITY CENTRE,40 ELM ST,?,SUDBURY,ON,Ontario,P3C1S8,46.493281,-80.99117
GMCL,GENERAL MOTORS,H171,GEORGETOWN CH,33 MOUNTAINVIEW ROAD NORTH,?,GEORGETOWN,ON,Ontario,L7G4J7,43.652426,-79.906164
GMCL,GENERAL MOTORS,E567,VISION CH B G,"30, ROUTE 132",?,DELSON,QC,Quebec,J5B1H3,45.384052,-73.542326
GMCL,GENERAL MOTORS,F091,MACINTYRE CH CA,DISCO STREET & MASSEY DRIVE,P.O. BOX 400,SYDNEY,NS,Nova Scotia,B1P6H2,46.14185,-60.17841
GMCL,GENERAL MOTORS,H577,GUS BROWN P B G,1201 DUNDAS STREET EAST,?,WHITBY,ON,Ontario,L1N2K6,43.884323,-78.921931
RN05,RONA L'EXPRESS,1700,STUDIO RONA ST-LEONA,6839 RUE JEAN-TALON E,?,SAINT-LEONARD,QC,Quebec,H1S1N2,45.59448,-73.57306
UNIS,AUTO PLUS AUTO PART PLUS,C037,GORGE AUTO SUPPLY,579 GORGE RD E,?,VICTORIA,BC,British Columbia,V8T2W5,48.43963,-123.37103
SPLS,STAPLES,125,ORILLIA,1087 BRODIE DRIVE,?,ORILLIA,ON,Ontario,L3V6H4,44.63305,-79.43485
SPLS,STAPLES,449,SELKIRK,1026 MANITOBA AVENUE,?,SELKIRK,MB,Manitoba,R1A4M2,50.15793,-96.90283
TP01,TRAVELPLUS,1053,TRENT TRAVEL TP,12 HASTINGS ST N,?,BANCROFT,ON,Ontario,K0L1C0,45.056784,-77.853489
CV01,CLUB VOYAGES,562,CV MONTMAGNY,101 BD. TACHE OUEST,?,MONTMAGNY,QC,Quebec,G5V3T8,46.97954,-70.56976
MART,MARLIN TRAVEL,677,MARLIN TRAVEL,340 COLONNADE DR,INSIDE WALMART,KEMPTVILLE,ON,Ontario,K0G1J0,45.03162,-75.63338
SHEL,SHELL CANADA,006A,390 Main St,390 MAIN STREET,?,SELKIRK,MB,Manitoba,R1A1T8,50.144377,-96.873273
LCBO,LCBO,323,Pointe au Baril,HWY. 69,?,POINTE AU BARIL,ON,Ontario,P0G1K0,45.595986,-80.373558
13,NATIONAL TILDEN,L2AK,AERPORT DE MONTJOLI,AERPORT DE MONT-JOLI,?,MONT JOLI,QC,Quebec,G5H4A4,48.60861,-68.20806
SBYA,SOBEYS INC,846,Woodstock,370 CONNELL ROAD,CARLETON SHOPPING MALL,WOODSTOCK,NB,New Brunswick,E7M5G9,46.16966,-67.59957
SHEL,SHELL CANADA,3830,202 Peary St,202 PEARY ST,?,SCHREIBER,ON,Ontario,P0T2S0,48.813035,-87.266498
RN15,RO-NA HARDWARE,3133,"Main St,Atwood",235 MAIN STREET,?,ATWOOD,ON,Ontario,N0G1B0,43.66609,-81.0202
UNIS,AUTO PLUS AUTO PART PLUS,6039,Aro Automotive,420 FIRST AVE.,?,VANDERHOOF,BC,British Columbia,V0J3A8,54.02914,-123.91775
RN01,RONA LE QUINCAILLIER,517,"Chateauguay,Huntingd","162, RUE CHATEAUGUAY",?,HUNTINGDON,QC,Quebec,J0S1H0,45.08421,-74.17512
SHEL,SHELL CANADA,3A70,Nipawin SK,1101 8 STREET WEST,?,NIPAWIN,SK,Saskatchewan,S0E1E0,53.35277,-104.026548
GMCL,GENERAL MOTORS,A116,CHAMPION CH B G,2880 HIGHWAY DRIVE,?,TRAIL,BC,British Columbia,V1R2T3,49.0979,-117.68301
GMCL,GENERAL MOTORS,I338,MIKE FAIR CH B G,199 LOMBARD STREET,P.O. BOX 1128,SMITHS FALLS,ON,Ontario,K7A5B4,44.885568,-76.034169
GMCL,GENERAL MOTORS,B009,HUNTER MOTORS,4810 - 28TH STREET,?,ATHABASCA,AB,Alberta,T9S1N1,54.71905,-113.2475
GMCL,GENERAL MOTORS,D811,JOHN BEAR B CH G,100 HERITAGE DRIVE,?,NEW HAMBURG,ON,Ontario,N3A2J4,43.37767,-80.69276
GMCL,GENERAL MOTORS,B271,GRANT MILLER MOT,5013 - 60TH STREET,?,VEGREVILLE,AB,Alberta,T9C1N6,53.50028,-112.06607
GMCL,GENERAL MOTORS,I218,MYER KEMPTVILLE CHBG,104 ELVIRA STREET,P.O. BOX 670,KEMPTVILLE,ON,Ontario,K0G1J0,45.020823,-75.651965
LCBO,LCBO,144,RENFREW,910 O'BRIEN RD,BLDG. A,RENFREW,ON,Ontario,K7V3Z4,45.47925,-76.6517
13,NATIONAL TILDEN,L2EL,STEPHENVILLE - WEST,73 WEST ST,?,STEPHENVILLE,NL,Newfoundland & Labrador,A2N1E5,48.54543,-58.58761
SHEL,SHELL CANADA,13G8,Guthrie ON,2240 HWY 11TH SOUTH,?,SHANTY BAY,ON,Ontario,L0L2L0,44.461667,-79.575556
BOST,BOSTON PIZZA INTERN'AL,918,Yarmouth,134 STARRS RD,?,YARMOUTH,NS,Nova Scotia,B5A4E5,43.840191,-66.095539
RN15,RO-NA HARDWARE,121,99 Fir street,99 FIRST STREET,?,ALERT BAY,BC,British Columbia,V0N1A0,50.62481,-127.01638
33,CENTURY 21,774,POWERREALTY.CA,"515 HIGHWAY 10 EAST, P.O.",?,DRUMHELLER,AB,Alberta,T0J0Y0,51.46356,-112.71937
FOOD,FOODLAND,9218,DEER LAKE,2A COMMERCE ST.,?,DEER LAKE,NL,Newfoundland & Labrador,A8A1E6,49.17396,-57.432158
PHAR,PHARMASAVE,583,Oxford Pharmasave,5208 MAIN STREET,?,OXFORD,NS,Nova Scotia,B0M1P0,45.735819,-63.867731
BOST,BOSTON PIZZA INTERN'AL,184,Drayton Valley,5645 50TH STREET,?,DRAYTON VALLEY,AB,Alberta,T7A1T1,53.232225,-114.980502
IRIS,IRIS,396,iris,43 DE GASPE EST,?,ST-JEAN-PORT-JOLI,QC,Quebec,G0R3G0,47.21665,-70.26798
SHEL,SHELL CANADA,028C,Ste Madeleine-Rigaud,106 ROUTE 201,?,STE-MADELEINE-DE-RIGAUD,QC,Quebec,J0P1P0,45.459012,-74.228535
SASE,SASKENERGY & NETWORK MEM,1861,MAIN PLBG & HTG 2010,113 MCLEOD AVENUE EAST,?,MELFORT,SK,Saskatchewan,S0E1A0,52.86079,-104.60821
SHEL,SHELL CANADA,1G92,1143 Riviere Bayon,?,?,?,QC,Quebec,?,46.090178,-73.19976
2,BMO BANK OF MONTREAL,521,BMO BANK OF MONTREAL,6 ONTARIO ST,?,GRAND BEND,ON,Ontario,N0M1T0,43.312437,-81.756177
LCBO,LCBO,106,Huntsville,91 KING WILLIAM STREET,?,HUNTSVILLE,ON,Ontario,P1H1E5,45.335609,-79.20438
BEST,BEST WESTERN INTERNAT'NAL,C283,GANANOQUE ON,715 King St E,?,Gananoque,ON,Ontario,K7G1H4,44.33825,-76.14849
SBYA,SOBEYS INC,588,Liverpool,180 BRISTOL AVENUE,?,LIVERPOOL,NS,Nova Scotia,B0T1K0,44.04599,-64.72225
2,BMO BANK OF MONTREAL,49,BMO BANK OF MONTREAL,493 KING ST.,?,BRIDGEWATER,NS,Nova Scotia,B4V1B3,44.376775,-64.517815
NSLC,NOVA SCOTIA LIQUOR,2460,PORT HOOD,8578 ROUTE 19,?,PORT HOOD,NS,Nova Scotia,B0E2W0,45.99992,-61.52975
SHEL,SHELL CANADA,3CB6,1525 HWY 11TH NORTH,1525 HWY 11TH NORTH,?,SHANTY BAY,ON,Ontario,L0L2L0,44.444134,-79.619485
LCBO,LCBO,304,Cardinal,HWY. 2,CARDINAL VILLAGE SQUARE,CARDINAL,ON,Ontario,K0E1E0,44.788549,-75.383081
SWPH,SOBEYS WEST PHARMACIES,5388,SWCB ROCKY MTN HOUSE,4513 52 AVE,?,ROCKY MOUNTAIN HOUSE,AB,Alberta,T4T1E8,52.37708,-114.9105
17,GOODYEAR CANADA - EAST,1137,COAST TIRE & AUTO,678 MOUNTAIN RD,?,MONCTON,NB,New Brunswick,E1C2P6,46.09863,-64.80146
17,GOODYEAR CANADA - EAST,1073,COAST TIRE & AUTO,"860, FAIRVILLE BLVD",?,ST-JOHN,NB,New Brunswick,E2M5C2,45.25085,-66.1014
KD52,FORT CITY CHRYSLER,?,?,?,?,?,?,Unknown,?,999,999
UM06,SUNNYVIEW VET,1,SUNNVIEW VETHOSPITAL,?,?,?,NS,Nova Scotia,?,999,999
MMER,MONERIS MERCHANT ISSUANCE,11Q5,DR. THOMAS PRIEMER,41 BRIDGE ST.,?,SACKVILLE,NB,New Brunswick,E4L3N8,45.897267,-64.365684
19,FOUNTAIN TIRE,711,FOUNTAIN TIRE F711,101 ROWAN ST,?,HINTON,AB,Alberta,T7V1N1,53.394282,-117.603335
LOWE,LOWES CANADA,2492,BRANTFORD,215 HENRY STREET,?,BRANTFORD,ON,Ontario,N3S7R4,43.155531,-80.237113
BEST,BEST WESTERN INTERNAT'NAL,C827,SOUTHFIELD MI,?,?,?,YT,Yukon,?,999,999
SPLS,STAPLES,174,KIRKLAND,3330 RUE JEAN-YVES,?,KIRKLAND,QC,Quebec,H9J2R6,45.44189,-73.88641
HIEX,HOLIDAY INN EXPRESS,MQVD,VAUDREUIL - DORION,?,?,?,QC,Quebec,?,999,999
TIMQ,TIMBER MART QUEBEC,875,COUTURE TIMBER MART,360 RUE PRINCIPALE N,?,RICHMOND,QC,Quebec,J0B2H0,45.661585,-72.143308
TIMW,TIM-BR MART WEST,1958,WESTRUM-MJ-TBM,4 HIGHLAND ROAD,?,MOOSE JAW,SK,Saskatchewan,S6H4P5,50.4126,-105.52154
HOME,HOMECARE BUILDING CENTRES,204,Springfield TIM-BR Mart,51276 RON MCNEIL LINE,?,SPRINGFIELD,ON,Ontario,N0L2J0,42.83027,-80.93236
HOME,HOMECARE BUILDING CENTRES,121,S & S TIM-BR Mart,26 COLLINGWOOD STREET,?,FLESHERTON,ON,Ontario,N0C1E0,44.26287,-80.54938
SHL5,SHELL CANADA,DD86,C80178,140 RUE NOTRE-DAME,?,LAVALTRIE,QC,Quebec,J5T1J8,999,999
MMER,MONERIS MERCHANT ISSUANCE,11IG,D'S LANDING,1 HAMILTON RIVER RD,?,HAPPY VALLEY-GOOSE B,NL,Newfoundland & Labrador,A0P1E0,53.29946,-60.28184
MMER,MONERIS MERCHANT ISSUANCE,11HS,EXCELLENT DETAILING,75 URQUHART AVE UNIT 1,?,MONCTON,NB,New Brunswick,E1H2R4,46.129102,-64.75825
NLCA,NLC LIQUOR STORES,40,Bay Roberts,239A Conception Bay Highway,Beaver Plaza Mall,Bay Roberts,NL,Newfoundland & Labrador,A0A 1G0,47.59621,-53.2569
MMER,MONERIS MERCHANT ISSUANCE,116Q,THE COFFEE SHOP 1635,1635 DUPONT ST,?,TORONTO,ON,Ontario,M6P3S9,43.6646094,-79.455533
MMER,MONERIS MERCHANT ISSUANCE,10XN,ROCKINGS,75 DALHOUSIE ST,?,BRANTFORD,ON,Ontario,N3T2J1,43.139329,-80.265146
MMER,MONERIS MERCHANT ISSUANCE,10UG,RITUAL SALON & SPA,9635 100 AVE,UNIT 3,FORT ST. JOHN,BC,British Columbia,V1J1Y2,56.246201,-120.842107
MMER,MONERIS MERCHANT ISSUANCE,10M6,TOPIARYS,3215 DERRY RD E,?,MISSISSAUGA,ON,Ontario,L4T1A8,43.7089295,-79.6383136
MMER,MONERIS MERCHANT ISSUANCE,10HS,'THE FOAM KING LTD.,9730 170 ST NW,?,EDMONTON,AB,Alberta,T5T5L5,53.534034,-113.617871
MMER,MONERIS MERCHANT ISSUANCE,10EF,HERITAGE MOUNTAIN GI,209 PEMBINA AVE,?,HINTON,AB,Alberta,T7V2B3,53.398193,-117.590869
MMER,MONERIS MERCHANT ISSUANCE,1040,AL-OMDA,3100 RIDGEWAY DR UNIT 33,?,MISSISSAUGA,ON,Ontario,L5L5M5,43.518385,-79.69179
MMER,MONERIS MERCHANT ISSUANCE,0UV7,BAGELS AND BREW,1983 COLUMBIA AVE UNIT 1085,?,CASTLEGAR,BC,British Columbia,V1N2W8,49.295618,-117.653943
MMER,MONERIS MERCHANT ISSUANCE,0ZND,POCO THRIFT SHOP,1522 PRAIRIE AVE UNIT A,?,PORT COQUITLAM,BC,British Columbia,V3B1T4,49.271165,-122.756642
MMER,MONERIS MERCHANT ISSUANCE,0ZLP,LES DISTRIBUTIONS GU,192 SAINT-FRANCOIS-XAVIER CH,?,DELSON,QC,Quebec,J5B1X9,45.376365,-73.536292
MMER,MONERIS MERCHANT ISSUANCE,0ZHB,VIP CATERING & JANIT,199 LARCH SUITE 104,?,SUDBURY,ON,Ontario,P3E5P9,46.491346,-80.98955
JR44,2099106 ONTARIO LTD,6,YORK REGION DUCT,?,?,?,ON,Ontario,?,999,999
SHL5,SHELL CANADA,DD7E,C80168,333 MAIN ST,?,SHEDIAC,NB,New Brunswick,E4P2B1,999,999
RMBC,RETAIL MEDIA GROUP,HSNB,Hercules SLR,?,?,?,NB,New Brunswick,?,999,999
BW75,ELLIOTT DENTAL GROUP INC.,4,ELLIOTT DENTAL GROUP,?,?,?,NL,Newfoundland & Labrador,?,999,999
KD22,PRESTON CHEVROLET BUICK,2,PRESTON MOTORS,?,?,?,BC,British Columbia,?,999,999
JR86,SHNIER DEALER NETWORK,609,PAINTSHOPTWILLINGATE,?,?,?,NL,Newfoundland & Labrador,?,999,999
KD19,PRO ENERGY,?,?,?,?,?,?,Unknown,?,999,999
33,CENTURY 21,2906,ACTION POWER TEAM,PO BOX 38,?,EMBRUN,ON,Ontario,K0A1W0,45.27395,-75.275109
JR86,SHNIER DEALER NETWORK,604,PAINT SHOP GOULDS,?,?,?,NL,Newfoundland & Labrador,?,999,999
PP73,PIZZA 73,26,960 YANKEE VALLEY RD,201-960 YANKEE VALLEY BLVD SE,?,AIRDRIE,AB,Alberta,T4A2E4,51.27118,-113.99355
PP73,PIZZA 73,7,3512 TUDOR GLEN MKT,3512 TUDOR GLEN,?,ST. ALBERT,AB,Alberta,T8N3V3,53.6207,-113.6086
UM05,RUSSELL LAKE VET,1,RUSSELL LAKE VET,?,?,?,NS,Nova Scotia,?,999,999
PP73,PIZZA 73,1064,"2439 54TH AVE, SW",PHONE AND ONLINE ORDERS,?,CALGARY,AB,Alberta,T3E1M4,51.00492,-114.11717
CRST,CARSTAR AUTOMOTIVE CANADA,4056,CARSTAR ST-LIN,985 RUE SAINT-ISIDORE,?,SAINT-LIN-LAURENTIDE,QC,Quebec,J5M2V5,45.86069,-73.75691
HFHP,HAMPTON,CADS,CADILLAC,?,?,?,YT,Yukon,?,999,999
HFHP,HAMPTON,FLLC,COCONUT CREEK,?,?,?,YT,Yukon,?,999,999
JR77,ENVIRO BLUE TRANSFER REC.,1,ENVIRO BLUE TRANSFER,2380 HAINES RD,?,MISSISSAUGA,ON,Ontario,L4Y1Y6,999,999
TIMW,TIM-BR MART WEST,5114,BURNCO-LEDUC,5706 47 ST,?,LEDUC,AB,Alberta,T9E6Z9,53.270077,-113.547395
JR91,ALL CARGOS EVENTS,?,?,?,?,?,?,Unknown,?,999,999
FLDO,FOODLAND ONTARIO,6419,FOREST,"88 KING STREET EAST, FOREST",?,FOREST,ON,Ontario,N0N1J0,43.1023788,-81.991806
FLDO,FOODLAND ONTARIO,7153,BUCKHORN,"3329 BUCKHORN RD, CTY RD 23, BUCKHORN",?,BUCKHORN,ON,Ontario,K0L1J0,44.552612,-78.339989
SBYO,SOBEYS ONTARIO,6715,FONTHILL,"110 HIGHWAY #20, FONTHILL",?,FONTHILL,ON,Ontario,L0S1E0,43.047785,-79.278978
FLDO,FOODLAND ONTARIO,6746,BRUSSELS,"38 KING STREET, BRUSSELS",?,BRUSSELS,ON,Ontario,N0G1H0,43.74310303,-81.25102997
FLDO,FOODLAND ONTARIO,6302,HAGERSVILLE,"32-34 KING STREET EAST, HAGERSVILLE",?,HAGERSVILLE,ON,Ontario,N0A1H0,42.961179,-80.050038
FLDO,FOODLAND ONTARIO,6414,PRINGLE CREEK,728 ANDERSON ST,?,WHITBY,ON,Ontario,L1N3V6,43.8948586,-78.927111
LUBX,LUBEXX,1028,5627B 44TH STREET,5627B 44TH STREET,?,LLOYDMINSTER,AB,Alberta,T9V0B2,53.277904,-110.023252
LUBX,LUBEXX,1004,13004 82 ST NW,13004 82 ST NW,?,EDMONTON,AB,Alberta,T5E2T5,53.589486,-113.467466
RN07,ACE,9889,ACE - NCA LA SALETTE,1663 RTE 309,?,NOTRE-DAME-DE-LA-SALLETTE,QC,Quebec,J0X2L0,45.773989,-75.591851
QLO1,QLO,2829,84 KING GEORGE ROAD,84 KING GEORGE ROAD,?,BRANTFORD,ON,Ontario,N3R5K4,43.165749,-80.275009
SBYO,SOBEYS ONTARIO,?,?,?,?,?,?,Unknown,?,999,999
RN03,RENO - DEPOT,7323,RENO-DEPOT DRUMMOND,875 RUE HAINS,?,DRUMMONDVILLE,QC,Quebec,J2C7Y8,45.90069,-72.52107
WRPL,WHIRLPOOL CANADA,131,AMEUBLEMENTS 640 INC,"96 A, MONTEE MASSON",?,MASCOUCHE,QC,Quebec,J7K3B5,45.73054,-73.61596
IOBC,IRVING BULLOCH,2539,HFX INT AIRPORT,28 SELFRIDGE WAY,?,GOFFS,NS,Nova Scotia,B2T1K3,44.883789,-63.520172
IOXG,IRVING,B302,S/S SAINT-JACQUES,129 RUE PRINCIPALE,?,SAINT-JACQUES,NB,New Brunswick,E7B1V6,47.432963,-68.387276
IOBC,IRVING BULLOCH,C711,FREDERICTON JCT IRV,207 SUNBURY DRIVE,?,FREDERICTON JUNCTION,NB,New Brunswick,E5L1R7,45.663558,-66.615008
IOCC,IRVING COUCHE-TARD CSTORE,2013,REGENT-PROSPECT CK,1169 REGENT ST,?,FREDERICTON,NB,New Brunswick,E3B3Z2,45.938575,-66.658412
IOCG,IRVING COUCHE-TARD,2124,BARRINGTON PSSG CK,3714 ROUTE 3,?,BARRINGTON PASSAGE,NS,Nova Scotia,B0W1G0,43.521502,-65.616097
IOCG,IRVING COUCHE-TARD,2106,TOPSAIL RD CIRCLE K,632 TOPSAIL RD,?,ST. JOHN'S,NL,Newfoundland & Labrador,A1E2C9,47.525462,-52.768952
IOCC,IRVING COUCHE-TARD CSTORE,2015,TRINITY DR CIRCLE K,1515 MOUNTAIN RD,?,MONCTON,NB,New Brunswick,E1G1A3,46.114411,-64.837071
IOCG,IRVING COUCHE-TARD,2032,GRAND BAY CIRCLE K,309 RIVER VALLEY DR,?,GRAND BAY-WESTFIELD,NB,New Brunswick,E5K1A8,45.306063,-66.195276
IOCC,IRVING COUCHE-TARD CSTORE,2106,TOPSAIL RD CIRCLE K,632 TOPSAIL RD,?,ST. JOHN'S,NL,Newfoundland & Labrador,A1E2C9,47.525462,-52.768952
IOMC,IRVING C-STORE,4425,PORT BLANDFORD IRV,1 LEGION RD,?,PORT BLANDFORD,NL,Newfoundland & Labrador,A0C2G0,48.350118,-54.172001
33,CENTURY 21,3393,LEADING EDGE REALTY,141 MAIN ST,?,UNIONVILLE,ON,Ontario,L3R2G7,43.866056,-79.311131
RN02,RONA LE RENOVATEUR,9888,RONA MAURICE GOUPIL,"379, ROUTE 132",?,CHANDLER,QC,Quebec,G0C1K0,48.34211,-64.71118
FOOD,FOODLAND,9239,FOODLAND SPRINGHILL,21 MAIN STREET,?,SPRINGHILL,NS,Nova Scotia,B0M1X0,999,999
SHEL,SHELL CANADA,DD63,GOSSELIN CHEMIN PINK,1668 CH PINK,?,GATINEAU,QC,Quebec,J9J3N7,45.441962,-75.815644
RN16,RO-NA HOME CENTRE,5539,RONA H&G LAKESHORE,1692 LAKESHORE RD W,?,MISSISSAUGA,ON,Ontario,L5J1J5,43.51813,-79.62207
CR67,JO-VAN DISTRIBUTORS INC.,14,SECURITY LOCK & SAFE,24-207 EDGELEY BLVD,?,CONCORD,ON,Ontario,L4K4B5,999,999
33,CENTURY 21,3139,TOWN & COUNTRY,1- 760 BARRIEFIELD CENTRE,?,KINGSTON,ON,Ontario,K7L5H6,44.27928,-76.38513
PPDM,PHARMA PLUS DRUGMARTS,4820,MEDICAL ARTS,233 KENNEDY STREET,?,WINNIPEG,MB,Manitoba,R3C3J5,49.890546,-97.147256
PPDM,PHARMA PLUS DRUGMARTS,4815,HENDERSON HWY,963 HENDERSON HIGHWAY,?,WINNIPEG,MB,Manitoba,R2K2M3,49.934566,-97.096699
RXAL,REXALL DRUG STORES,7207,53RD AVE,5004-53RD AVENUE,?,HIGH PRAIRIE,AB,Alberta,T0G1E0,55.4329815,-116.4956338
RXAL,REXALL DRUG STORES,7246,WESTMONT VILLAGE,11450 GROAT ROAD NW,?,EDMONTON,AB,Alberta,T5M4B7,53.564418,-113.551709
C21B,CENTURY 21 BONUS CARD,C21B,Century 21 BonusCard,?,?,?,ON,Ontario,?,999,999
RMBC,RETAIL MEDIA GROUP,ASOB,Aqua Medical Spa,?,?,?,ON,Ontario,?,999,999
HFHH,HILTON,EWSM,MEADOWLANDS,?,?,?,YT,Yukon,?,999,999
HFHW,HOMEWOOD SUITES,DUJI,DUBOIS,?,?,?,YT,Yukon,?,999,999
JR40,STORAGE MART,58,STORAGEMART,?,?,?,AB,Alberta,?,999,999
JR40,STORAGE MART,20,STORAGEMART,?,?,?,ON,Ontario,?,999,999
MCHL,MICHAELS,4965,"TOR-WHITBY, ON",SMARTCENTRES LAVAL WEST,940 CHOMEDEY (A-13) O,LAVAL,QC,Quebec,H7X3S9,45.529832,-73.783323
SHL8,SHELL CANADA,3D1C,MICHAUD PETROLEUM,866 BOUL EVERARD H DAIGLE,?,GRAND-SAULT/GRAND FA,NB,New Brunswick,E3Z3C8,999,999
SHL6,SHELL CANADA,3FED,FJ-REGINA,1511 E ROSS AVE,?,REGINA,SK,Saskatchewan,S4N7E5,999,999
THPH,THRIFTY FOODS PHARMACY,9472,MORGAN CROSSING,102-15745 CROYDON DRIVE,?,SURREY,BC,British Columbia,V3S2L5,49.047879,-122.786611
JR58,BEACHCOMBER HOT TUBS,?,?,?,?,?,?,Unknown,?,999,999
SBYW,SOBEYS WEST,3098,LAKELAND,590 BASELINE ROAD,?,SHERWOOD PARK,AB,Alberta,T8H1Y4,53.542418,-113.264725
SBYW,SOBEYS WEST,3143,MILL WOODS COMMON,5011 - 23 AVENUE,?,EDMONTON,AB,Alberta,T6L7G5,53.453775,-113.421703
SBWL,SOBEYS LIQUOR,3701,SHERWOOD PARK SWCB,120 LAKELAND RIDGE BASELINE RD,?,SHERWOOD PARK,AB,Alberta,T8H1Y4,53.542405,-113.264805
SBWL,SOBEYS LIQUOR,5034,BARRHEAD SWCB,4905 50 AVENUE,?,BARRHEAD,AB,Alberta,T7N1A1,54.117773,-114.402341
HFES,EMBASSY SUITES,SNA1,ANAHEIM,?,?,?,YT,Yukon,?,999,999
HFGI,HILTON GARDEN INN,WAEG,GEORGETOWN,?,?,?,YT,Yukon,?,999,999
SHL6,SHELL CANADA,DD55,SOBEYS - FARNHAM,130 RUE JACQUES-CARTIER S,?,FARNHAM,QC,Quebec,J2N1Y4,999,999
JR44,2099106 ONTARIO LTD,4,SHINE,?,?,?,ON,Ontario,?,999,999
TRUN,TOYS R US,2470,ARGYLE MALL,1925 DUNDAS ST BUILDING,?,LONDON,ON,Ontario,N5V1P7,43.004412,-81.1756
18,GOODYEAR CANADA - WEST,7751,BESTWAY TIRE,9927 51 AVE NW,?,EDMONTON,AB,Alberta,T6E0A8,53.488084,-113.487936
KNTC,KBS KENT CARD,37,CONTRACTOR SUPPLY,10 MESSENGER DR.,?,ST JOHNS,NL,Newfoundland & Labrador,A1B0H6,999,999
KNTC,KBS KENT CARD,31,ST JOHNS BOX,10 STAVANGER DRIVE,?,ST. JOHNS,NL,Newfoundland & Labrador,A1A5E8,999,999
LUMN,LUMEN,10,VALLEN,117 BOUL HYMUS,?,POINTE-CLAIRE,QC,Quebec,H9R1E5,45.468618,-73.806027
5000,SAFEWAY CONVERSION,4952,SMITHERS,3664 HIGHWAY 16,?,SMITHERS,BC,British Columbia,V0J2N0,54.77956,-127.16357
5000,SAFEWAY CONVERSION,8821,BONAVISTA SHOP.PLAZA,755 LAKE BONAVISTA DR. SE,?,CALGARY,AB,Alberta,T2J0N3,50.94337,-114.0477
5000,SAFEWAY CONVERSION,4967,SEAFAIR,8671 NO. 1 ROAD,?,RICHMOND,BC,British Columbia,V7C1V2,49.14878,-123.18125
5000,SAFEWAY CONVERSION,4926,100 MILE HOUSE,575 A ALDER AVENUE,?,100 MILE HOUSE,BC,British Columbia,V0K2E0,51.64373,-121.29412
5000,SAFEWAY CONVERSION,4918,WILLOWBROOK,6153 200 STREET,?,LANGLEY,BC,British Columbia,V2Y1A2,49.11391,-122.66878
DIGI,DIGITEC TRADING INC,?,?,?,?,?,?,Unknown,?,999,999
KENT,KENT BUILDING SUPPLIES,73,ATLAS-DIEPPE,691 MALENFANT BLVD,?,DIEPPE,NB,New Brunswick,E1A5T8,46.103344,-64.72045
HFHP,HAMPTON,EKIM,MIDDLEBURY,?,?,?,YT,Yukon,?,999,999
HFES,EMBASSY SUITES,CHHM,CHATTANOOGA,?,?,?,YT,Yukon,?,999,999
HFES,EMBASSY SUITES,ONTP,ONTARIO AIRPORT,?,?,?,ON,Ontario,?,999,999
HFHP,HAMPTON,TFTS,TIFTON,?,?,?,YT,Yukon,?,999,999
SHL6,SHELL CANADA,DD48,14265 HWY 41,14265 HIGHWAY 41,?,CLOYNE,ON,Ontario,K0H1K0,999,999
JR28,LES ENTREPRISES PREMIERE,6,PREMIERE GENERALE,?,?,?,QC,Quebec,?,999,999
33,CENTURY 21,3289,ELITE ESTATES LTD.,112-405 BRITANNIA RD E,?,MISSISSAUGA,ON,Ontario,L4Z3E6,43.633311,-79.667843
RM99,SERVICE CORPORATION INT'L,190,FIRST MEMORIAL FS,?,?,?,BC,British Columbia,?,999,999
WRPL,WHIRLPOOL CANADA,423,MOORES APPLIANCES,350 QUEENSWAY AVE.,?,PRINCE GEORGE,BC,British Columbia,V2L5C3,53.91514,-122.7412
WRPL,WHIRLPOOL CANADA,179,MIDWEST FURNITURE,4801 - 49 AVENUE,?,LLOYDMINSTER,SK,Saskatchewan,S9V0T5,53.28167,-110.00337
WRPL,WHIRLPOOL CANADA,420,JJRW FURNITURE LTD,107 CHURCHILL ST,?,HUDSON BAY,SK,Saskatchewan,S0E0Y0,52.861992,-102.389578
WRPL,WHIRLPOOL CANADA,38,SCHWARTZ FURNITURE,418-1 HIGHWAY 4,?,PORT HASTINGS,NS,Nova Scotia,B0E2T0,45.64689,-61.40393
RN15,RO-NA HARDWARE,3357,RONA CASHWAY CHATAM,65 COLBORNE ST,?,CHATHAM,ON,Ontario,N7M3L7,42.406641,-82.179066
SHL6,SHELL CANADA,DD44,LP STICK ROAD,LP STICK ROAD,?,SAINT JOHN'S,NL,Newfoundland & Labrador,A1C1J3,999,999
