sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
OSSO,SESCO,6,OSSO MARKHAM,?,?,?,ON,Ontario,?,43.82389,-79.34157
PJCQ,JEAN COUTU,5,4484 ST-CATHERINE E,"4484, RUE SAINTE-CATHERINE EST",?,MONTRIAL,QC,Quebec,H1V1Y5,45.552532,-73.53275
HBCR,HBC REWARDS,5132,HOME OUTFITTERS,FIRST PRO GARDEN CENTRE,39 LOUTH STREET,ST CATHARINES,ON,Ontario,L2S4A2,43.15304,-79.26531
BOST,BOSTON PIZZA INTERN'AL,136,Crowfoot Cres NW,140 CROWFOOT CRESCENT NW,?,CALGARY,AB,Alberta,T3G2W1,51.126618,-114.197856
CV01,CLUB VOYAGES,598,CV LANGELIER,6589 RUE BEAUBIEN EST,?,MONTREAL,QC,Quebec,H1M1B1,45.588238,-73.56087
SHEL,SHELL CANADA,0B11,Magog QC,95 RUE SHERBROOKE,?,MAGOG,QC,Quebec,J1X2R3,45.265826,-72.146734
RXAL,REXALL DRUG STORES,8187,OWEN SOUND MEDICAL B,1415 - 1ST AVENUE WEST,?,OWEN SOUND,ON,Ontario,N4K4K8,44.57338,-80.94554
2,BMO BANK OF MONTREAL,849,BMO BANK OF MONTREAL,"147 LAIRD DRIVE, UNIT 700",?,TORONTO,ON,Ontario,M4G4K1,43.709288,-79.36293
DEMF,DAOUST & MICHEL FORGET,D075,12872 Sherbrooke PAT,"12872, RUE SHERBROOKE EST",?,POINTE-AUX-TREMBLES,QC,Quebec,H1A4Y3,45.65432,-73.50999
RN20,RONA L'ENTREPOT,557,RONA (ST-LAURENT),3600 COTE VERTU,?,SAINT-LAURENT,QC,Quebec,H4R1P8,45.49382,-73.70839
LUMN,LUMEN,26,LUMEN AMOS,811 DE L'INDUSTRIE AVE,?,AMOS,QC,Quebec,J9T4L6,48.56279,-78.1293
PJCQ,JEAN COUTU,282,1465 JEAN-TALON,"1465, RUE JEAN-TALON EST",?,MONTRIAL,QC,Quebec,H2E1S8,45.546298,-73.608741
TRUN,TOYS R US,3530,MARKVILLE,5000 HIGHWAY #7 EAST,?,MARKHAM,ON,Ontario,L3R4M9,43.86683,-79.28689
